Iasi	47.1666666666667	27.5833333333333
Bacau	46.5666666666667	26.9166666666667
Piatra Neamt	46.9333333333333	26.3833333333333
Suceava	47.6666666666667	26.1833333333333
Botosani	47.7333333333333	26.6666666666667
Vaslui	46.6333333333333	27.7333333333333
Bucuresti	44.44	26.1
Cluj-Napoca	46.78	23.59
Timisoara	45.76	21.23
Constanta	44.18	28.63
Brasov	45.66	25.61
Chisinau	47.0333333333333	28.8333333333333
Balti	47.75	27.9166666666667
Amsterdam	52.3833333333333	4.9
Atena	37.9666666666667	23.7666666666667
Belgrad	44.8166666666667	20.45
Berlin	52.5333333333333	13.4
Bruxelles	50.85	4.35
Budapesta	47.4833333333333	19.0833333333333
Londra	51.5166666666667	-0.1
Madrid	40.4166666666667	-3.75
Moscova	55.75	37.5833333333333
Oslo	59.9166666666667	10.75
Praga	50.0833333333333	14.3666666666667
Paris	48.8333333333333	2.33333333333333
Roma	41.9	12.5
Sofia	42.75	23.3333333333333
Viena	48.2	16.3666666666667
